causas,lon,lat,raca,genero,idade,data,endereco
Shooting,-76.674227,39.311024,Black,Male,17,2007-01-01,3400 Clifton Ave.
Shooting,-76.698948,39.312641,Black,Male,26,2007-01-02,4900 Challedon Road
Blunt Force,-76.649882,39.309781,Black,Female,44,2007-01-02,2000 West North Ave
Asphyxiation,-76.598772,39.363925,Black,Male,21,2007-01-03,5900 Northwood Drive
Blunt Force,-76.602718,39.238928,White,Male,61,2007-01-05,500 Maude Ave.
Shooting,-76.607979,39.352676,Black,Male,46,2007-01-05,5200 Ready Ave.
Shooting,-76.622023,39.310999,Black,Male,27,2007-01-05,300 West North Ave.
Shooting,-76.584475,39.311103,Black,Male,21,2007-01-07,1800 North Montford Ave.
Shooting,-76.56496,39.348101,Black,Male,16,2007-01-08,5100 Harford Road
Shooting,-76.568647,39.31505,Black,Male,21,2007-01-08,3100 Ravenwood Road
Shooting,-76.690475,39.319081,Black,Male,34,2007-01-09,4500 Fairfax Road
Shooting,-76.614191,39.317947,Black,Male,25,2007-01-09,200 East 25th Street
Shooting,-76.603307,39.234253,White,Female,23,2007-01-09,600 Washburn Ave.
Shooting,-76.609721,39.35211,Black,Male,30,2007-01-09,5200 York Road
Shooting,-76.597963,39.304176,Black,Male,26,2007-01-09,1200 North Caroline St.
Shooting,-76.59528,39.32488,Black,Male,36,2007-01-13,1500 East 29th Street
Stabbing,-76.571191,39.367143,Black,Male,21,2007-01-15,2200 Fleetwood Ave.
Shooting,-76.640377,39.303363,Black,Female,27,2007-01-18,1300 North Calhoun St.
Shooting,-76.603138,39.290452,Black,Male,30,2007-01-20,1000 E. Baltimore St.
Shooting,-76.532941,39.330618,Black,Male,19,2007-01-20,5400 Cedonia Ave.
Shooting,-76.669075,39.305189,Black,Male,31,2007-01-22,3100 Brighton St
Shooting,-76.625618,39.299613,Black,Male,34,2007-01-23,500 West Preston St.
Shooting,-76.593591,39.304334,Black,Male,24,2007-01-23,1700 East Biddle street
Shooting,-76.634801,39.309478,Black,Male,31,2007-01-24,2100 Madison Ave.
Shooting,-76.5886,39.31092,Black,Male,33,2007-01-27,1800 North Chester St.
Shooting,-76.687649,39.349367,Black,Male,24,2007-01-27,3900 West Rogers Ave.
Asphyxiation,-76.709231,39.366298,Hispanic,Female,25,2007-01-29,7200 Brook Crest Way
Shooting,-76.675544,39.295311,White,Female,22,2007-01-31,700 Edgewood St.
Shooting,-76.607571,39.240181,Black,Male,23,2007-02-01,3500 Second Street
Shooting,-76.638573,39.310694,Black,Male,52,2007-02-02,2300 Druid Hill Ave.
Shooting,-76.604927,39.342274,Black,Male,34,2007-02-08,800 East 43rd street
Shooting,-76.583709,39.299847,Black,Male,32,2007-02-10,2400 East Madison Street
Shooting,-76.645234,39.288248,Black,Male,26,2007-02-11,1800 West Baltimore Street
Shooting,-76.652864,39.287917,Black,Male,39,2007-02-11,2300 West Baltimore
Shooting,-76.677113,39.343423,Black,Male,28,2007-02-17,3700 Oakmont Ave.
Shooting,-76.595066,39.301874,Black,Male,29,2007-02-18,1000 Branch Water Ct
Shooting,-76.594621,39.301893,Black,Male,19,2007-02-19,1000 Broadway
Shooting,-76.584805,39.294303,Black,Male,37,2007-02-19,2300 East Fayette St.
Shooting,-76.611204,39.315515,Black,Male,22,2007-02-19,2300 Barclay St.
Shooting,-76.647326,39.311964,Black,Male,27,2007-02-21,1800 Clifton Ave.
Shooting,-76.585015,39.308375,Black,Male,32,2007-02-21,1500 North Bradford St.
Shooting,-76.647097,39.30668,Black,Male,18,2007-02-23,1600 McKean Ave.
Stabbing,-76.645013,39.285221,Black,Male,21,2007-02-24,200 South Fulton ave
Shooting,-76.645809,39.297648,Black,Male,25,2007-02-26,1800 West Lanvale St.
Shooting,-76.612624,39.314416,Black,Male,17,2007-02-27,2200 Guilford Ave.
Shooting,-76.615648,39.277771,Black,Male,19,2007-03-03,100 West Hamburg St
Shooting,-76.575948,39.299104,Black,Male,20,2007-03-04,700 North Curley St
Shooting,-76.652745,39.31081,Black,Male,28,2007-03-05,2000 North Smallwood St.
Shooting,-76.670222,39.302166,Black,Male,17,2007-03-06,1115 North Ellamont St
